target_id,pval,qval,test_stat,rss,degrees_free,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
lcl|NC_003911.12_cds_WP_011046245.1_483,7.70E-11,4.22E-08,42.33339599,25.35987082,1,8.766384225,1.950759294,0.000175753,1.950583541,0.807005856,1.950583541
lcl|NC_003911.12_cds_WP_011047807.1_2119,9.45E-11,4.22E-08,41.93109186,17.5694853,1,7.12221778,1.351498869,0.000878791,1.350620078,0.110118514,1.350620078
lcl|NC_003911.12_cds_WP_011048321.1_2661,1.45E-10,4.22E-08,41.09176782,10.39252061,1,7.439636806,0.799424662,0.000614483,0.798810179,0.158947695,0.798810179
lcl|NC_003911.12_cds_WP_044028821.1_3723,1.51E-10,4.22E-08,41.01811345,22.8935774,1,6.676839785,1.761044415,0.001433033,1.759611382,0.111214447,1.759611382
lcl|NC_003911.12_cds_WP_051420375.1_2625,1.59E-10,4.22E-08,40.91991261,10.99678649,1,7.198384774,0.845906653,0.00075871,0.845147943,0.118819052,0.845147943
lcl|NC_003911.12_cds_WP_230981741.1_2680,2.21E-10,4.22E-08,40.26888282,18.49781473,1,8.488147597,1.422908826,0.000212924,1.422695901,0.62190614,1.422695901
lcl|NC_003911.12_cds_WP_011045901.1_133,2.61E-10,4.22E-08,39.94495092,14.95655789,1,8.060269643,1.150504453,0.000308751,1.150195702,0.388588167,1.150195702
lcl|NC_003911.12_cds_WP_193385767.1_3120,2.71E-10,4.22E-08,39.87668082,14.99353553,1,7.064942773,1.153348887,0.000824075,1.152524812,0.105274549,1.152524812
lcl|NC_003911.12_cds_WP_044028353.1_2357,2.93E-10,4.22E-08,39.72083053,15.942361,1,7.526603301,1.226335461,0.000578326,1.225757135,0.180069725,1.225757135
lcl|NC_003911.12_cds_WP_011047953.1_2266,2.96E-10,4.22E-08,39.70146905,14.67218487,1,7.889537883,1.128629606,0.000396492,1.128233114,0.312691576,1.128233114
lcl|NC_006569.1_cds_WP_011242200.1_4388,3.16E-10,4.22E-08,39.57159359,8.381515941,1,7.491369473,0.644731995,0.000552294,0.644179702,0.170945945,0.644179702
lcl|NC_003911.12_cds_WP_011048942.1_3300,3.18E-10,4.22E-08,39.56308036,19.00117429,1,8.008398437,1.461628791,0.000387376,1.461241415,0.364628146,1.461241415
lcl|NC_003911.12_cds_WP_044028080.1_1463,3.35E-10,4.22E-08,39.45815413,13.14929635,1,6.680462462,1.011484335,0.001360543,1.010123792,0.110897775,1.010123792
lcl|NC_003911.12_cds_WP_011048894.1_3252,3.62E-10,4.22E-08,39.30920232,23.28890629,1,8.543844728,1.79145433,0.000200522,1.791253808,0.656912849,1.791253808
lcl|NC_003911.12_cds_WP_011048658.1_3005,3.70E-10,4.22E-08,39.26317283,19.83117638,1,8.23250181,1.525475106,0.000290801,1.525184305,0.474856636,1.525184305
lcl|NC_003911.12_cds_WP_011047662.1_1973,3.83E-10,4.22E-08,39.19825351,15.31258914,1,7.290126443,1.177891472,0.000707109,1.177184363,0.132116342,1.177184363
lcl|NC_003911.12_cds_WP_011048057.1_2375,3.99E-10,4.22E-08,39.11898383,17.96333843,1,8.500013753,1.381795263,0.000209929,1.381585334,0.629276448,1.381585334
lcl|NC_003911.12_cds_WP_044029028.1_930,4.03E-10,4.22E-08,39.09990113,13.05166883,1,7.882060889,1.003974526,0.000363188,1.003611338,0.309477547,1.003611338
lcl|NC_003911.12_cds_WP_011048218.1_2553,4.03E-10,4.22E-08,39.09613402,19.74588503,1,8.278710448,1.518914233,0.000262841,1.518651392,0.499760985,1.518651392
lcl|NC_003911.12_cds_WP_011046836.1_1103,4.06E-10,4.22E-08,39.08582753,11.88357982,1,6.808059705,0.914121525,0.001119945,0.913001579,0.103613655,0.913001579
